Timestamp,RSSI_Downlink,Status
2025-09-01 18:59:34.974,-78.00,Sucesso
2025-09-01 18:59:35.985,-78.00,Sucesso
2025-09-01 18:59:37.001,-78.00,Sucesso
2025-09-01 18:59:38.011,-78.00,Sucesso
2025-09-01 18:59:39.023,-78.00,Sucesso
2025-09-01 18:59:40.046,-78.00,Sucesso
2025-09-01 18:59:41.066,-78.00,Sucesso
2025-09-01 18:59:42.075,-78.00,Sucesso
2025-09-01 18:59:43.090,-78.00,Sucesso
2025-09-01 18:59:44.103,-78.00,Sucesso
2025-09-01 18:59:45.114,-78.00,Sucesso
2025-09-01 18:59:46.123,-78.00,Sucesso
2025-09-01 18:59:47.134,-78.00,Sucesso
2025-09-01 18:59:48.147,-78.00,Sucesso
2025-09-01 18:59:49.160,-78.00,Sucesso
2025-09-01 18:59:50.173,-78.00,Sucesso
2025-09-01 18:59:51.184,-78.00,Sucesso
2025-09-01 18:59:52.245,-78.00,Sucesso
2025-09-01 18:59:53.257,-78.00,Sucesso
2025-09-01 18:59:54.275,-78.00,Sucesso
2025-09-01 18:59:55.286,-78.00,Sucesso
2025-09-01 18:59:56.300,-78.00,Sucesso
2025-09-01 18:59:57.321,-78.00,Sucesso
2025-09-01 18:59:58.344,-77.00,Sucesso
2025-09-01 18:59:59.365,-77.00,Sucesso
2025-09-01 19:00:00.390,-77.00,Sucesso
2025-09-01 19:00:01.413,-78.00,Sucesso
2025-09-01 19:00:02.437,-78.00,Sucesso
2025-09-01 19:00:03.457,-78.00,Sucesso
2025-09-01 19:00:04.467,-78.00,Sucesso
2025-09-01 19:00:05.482,-78.00,Sucesso
2025-09-01 19:00:06.493,-78.00,Sucesso
2025-09-01 19:00:07.507,-78.00,Sucesso
2025-09-01 19:00:08.589,-78.00,Sucesso
2025-09-01 19:00:09.599,-78.00,Sucesso
2025-09-01 19:00:10.611,-78.00,Sucesso
2025-09-01 19:00:11.625,-78.00,Sucesso
2025-09-01 19:00:12.649,-78.00,Sucesso
2025-09-01 19:00:13.661,-78.00,Sucesso
2025-09-01 19:00:14.670,-78.00,Sucesso
2025-09-01 19:00:15.690,-78.00,Sucesso
2025-09-01 19:00:16.707,-77.00,Sucesso
2025-09-01 19:00:17.714,-77.00,Sucesso
2025-09-01 19:00:18.725,-79.00,Sucesso
2025-09-01 19:00:19.745,-79.00,Sucesso
2025-09-01 19:00:20.762,-79.00,Sucesso
2025-09-01 19:00:21.774,-78.00,Sucesso
2025-09-01 19:00:22.788,-77.00,Sucesso
2025-09-01 19:00:23.799,-78.00,Sucesso
2025-09-01 19:00:24.809,-78.00,Sucesso
2025-09-01 19:00:25.818,-79.00,Sucesso
2025-09-01 19:00:26.825,-79.00,Sucesso
2025-09-01 19:00:27.836,-79.00,Sucesso
2025-09-01 19:00:28.852,-79.00,Sucesso
2025-09-01 19:00:29.864,-79.00,Sucesso
2025-09-01 19:00:30.874,-79.00,Sucesso
2025-09-01 19:00:31.884,-79.00,Sucesso
2025-09-01 19:00:32.891,-79.00,Sucesso
2025-09-01 19:00:33.908,-79.00,Sucesso
2025-09-01 19:00:34.917,-79.00,Sucesso
2025-09-01 19:00:35.927,-79.00,Sucesso
2025-09-01 19:00:36.964,-78.00,Sucesso
2025-09-01 19:00:37.974,-78.00,Sucesso
2025-09-01 19:00:38.992,-78.00,Sucesso
2025-09-01 19:00:40.008,-78.00,Sucesso
2025-09-01 19:00:41.018,-78.00,Sucesso
2025-09-01 19:00:42.030,-78.00,Sucesso
2025-09-01 19:00:43.038,-78.00,Sucesso
2025-09-01 19:00:44.051,-78.00,Sucesso
2025-09-01 19:00:45.061,-78.00,Sucesso
2025-09-01 19:00:46.071,-78.00,Sucesso
2025-09-01 19:00:47.082,-78.00,Sucesso
2025-09-01 19:00:48.101,-78.00,Sucesso
2025-09-01 19:00:49.128,-78.00,Sucesso
2025-09-01 19:00:50.140,-78.00,Sucesso
2025-09-01 19:00:51.153,-78.00,Sucesso
2025-09-01 19:00:52.165,-78.00,Sucesso
2025-09-01 19:00:53.179,-78.00,Sucesso
2025-09-01 19:00:54.188,-78.00,Sucesso
2025-09-01 19:00:55.199,-78.00,Sucesso
2025-09-01 19:00:56.209,-78.00,Sucesso
2025-09-01 19:00:57.220,-78.00,Sucesso
2025-09-01 19:00:58.230,-78.00,Sucesso
2025-09-01 19:00:59.239,-78.00,Sucesso
2025-09-01 19:01:00.248,-77.00,Sucesso
2025-09-01 19:01:01.259,-77.00,Sucesso
2025-09-01 19:01:02.276,-77.00,Sucesso
2025-09-01 19:01:03.302,-76.00,Sucesso
2025-09-01 19:01:04.312,-78.00,Sucesso
2025-09-01 19:01:05.350,-78.00,Sucesso
2025-09-01 19:01:06.369,-77.00,Sucesso
2025-09-01 19:01:07.381,-77.00,Sucesso
2025-09-01 19:01:08.390,-77.00,Sucesso
2025-09-01 19:01:09.411,-77.00,Sucesso
2025-09-01 19:01:10.439,-77.00,Sucesso
2025-09-01 19:01:11.456,-77.00,Sucesso
2025-09-01 19:01:12.464,-77.00,Sucesso
2025-09-01 19:01:13.474,-77.00,Sucesso
2025-09-01 19:01:14.484,-77.00,Sucesso
2025-09-01 19:01:15.492,-77.00,Sucesso
2025-09-01 19:01:16.508,-78.00,Sucesso
2025-09-01 19:01:17.518,-78.00,Sucesso
2025-09-01 19:01:18.530,-78.00,Sucesso
2025-09-01 19:01:19.541,-77.00,Sucesso
2025-09-01 19:01:20.551,-77.00,Sucesso
2025-09-01 19:01:21.561,-77.00,Sucesso
2025-09-01 19:01:22.572,-77.00,Sucesso
2025-09-01 19:01:23.581,-77.00,Sucesso
2025-09-01 19:01:24.588,-77.00,Sucesso
2025-09-01 19:01:25.601,-78.00,Sucesso
2025-09-01 19:01:26.612,-78.00,Sucesso
2025-09-01 19:01:27.643,-78.00,Sucesso
2025-09-01 19:01:28.656,-78.00,Sucesso
2025-09-01 19:01:29.666,-78.00,Sucesso
2025-09-01 19:01:30.674,-77.00,Sucesso
2025-09-01 19:01:31.688,-77.00,Sucesso
2025-09-01 19:01:32.698,-77.00,Sucesso
2025-09-01 19:01:33.720,-77.00,Sucesso
2025-09-01 19:01:34.734,-77.00,Sucesso
2025-09-01 19:01:35.751,-77.00,Sucesso
2025-09-01 19:01:36.810,-77.00,Sucesso
2025-09-01 19:01:37.819,-77.00,Sucesso
2025-09-01 19:01:38.833,-77.00,Sucesso
2025-09-01 19:01:39.845,-77.00,Sucesso
2025-09-01 19:01:40.861,-77.00,Sucesso
2025-09-01 19:01:41.875,-77.00,Sucesso
2025-09-01 19:01:42.891,-79.00,Sucesso
2025-09-01 19:01:43.899,-77.00,Sucesso
2025-09-01 19:01:44.909,-77.00,Sucesso
2025-09-01 19:01:45.933,-76.00,Sucesso
2025-09-01 19:01:46.944,-78.00,Sucesso
2025-09-01 19:01:47.959,-78.00,Sucesso
2025-09-01 19:01:48.973,-77.00,Sucesso
2025-09-01 19:01:49.984,-76.00,Sucesso
2025-09-01 19:01:51.020,-77.00,Sucesso
2025-09-01 19:01:52.085,-77.00,Sucesso
2025-09-01 19:01:53.099,-77.00,Sucesso
2025-09-01 19:01:54.114,-77.00,Sucesso
2025-09-01 19:01:55.126,-77.00,Sucesso
2025-09-01 19:01:56.144,-78.00,Sucesso
2025-09-01 19:01:57.166,-78.00,Sucesso
2025-09-01 19:01:58.177,-78.00,Sucesso
2025-09-01 19:01:59.190,-78.00,Sucesso
2025-09-01 19:02:00.202,-78.00,Sucesso
2025-09-01 19:02:01.236,-78.00,Sucesso
2025-09-01 19:02:02.247,-78.00,Sucesso
2025-09-01 19:02:03.256,-77.00,Sucesso
2025-09-01 19:02:04.269,-77.00,Sucesso
2025-09-01 19:02:05.283,-77.00,Sucesso
2025-09-01 19:02:06.294,-76.00,Sucesso
2025-09-01 19:02:07.303,-77.00,Sucesso
2025-09-01 19:02:08.325,-77.00,Sucesso
2025-09-01 19:02:09.336,-78.00,Sucesso
2025-09-01 19:02:10.346,-78.00,Sucesso
2025-09-01 19:02:11.359,-78.00,Sucesso
2025-09-01 19:02:12.370,-78.00,Sucesso
2025-09-01 19:02:13.382,-77.00,Sucesso
2025-09-01 19:02:14.393,-77.00,Sucesso
2025-09-01 19:02:15.403,-77.00,Sucesso
2025-09-01 19:02:16.416,-77.00,Sucesso
2025-09-01 19:02:17.436,-78.00,Sucesso
2025-09-01 19:02:18.448,-78.00,Sucesso
2025-09-01 19:02:19.460,-77.00,Sucesso
2025-09-01 19:02:20.499,-77.00,Sucesso
2025-09-01 19:02:21.508,-77.00,Sucesso
2025-09-01 19:02:22.527,-78.00,Sucesso
2025-09-01 19:02:23.546,-77.00,Sucesso
2025-09-01 19:02:24.554,-77.00,Sucesso
2025-09-01 19:02:25.563,-77.00,Sucesso
2025-09-01 19:02:26.575,-78.00,Sucesso
2025-09-01 19:02:27.656,-78.00,Sucesso
2025-09-01 19:02:28.666,-77.00,Sucesso
2025-09-01 19:02:29.674,-77.00,Sucesso
2025-09-01 19:02:30.692,-77.00,Sucesso
2025-09-01 19:02:31.703,-77.00,Sucesso
2025-09-01 19:02:32.727,-77.00,Sucesso
2025-09-01 19:02:33.738,-77.00,Sucesso
2025-09-01 19:02:34.746,-77.00,Sucesso
2025-09-01 19:02:35.758,-78.00,Sucesso
2025-09-01 19:02:36.773,-78.00,Sucesso
2025-09-01 19:02:37.781,-78.00,Sucesso
